Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows
2017-03-01 16:40:00,21.33,55.91,0.08,387.4,427.3
2017-07-27 06:30:00,23.1,48.58,4.908,10.45,8.63
2017-10-11 19:00:00,23.1,59.82,0.084,0.446,0.322
2017-02-10 06:50:00,12.25,80.8,4.916,0.051,0.111
2017-03-06 16:00:00,15.62,59.38,0.075,533.4,579.9
2017-05-20 02:40:00,18.73,87.5,0.068,0.059,0.111
2017-01-01 07:20:00,4.489,74.3,0.082,0.081,0.119
2017-03-01 00:10:00,12.77,84.6,0.092,0.026,0.159
2017-02-05 06:30:00,6.671,61.17,0.093,0.062,0.122
2017-01-15 00:50:00,11.52,85.8,0.086,0.062,0.115
2017-04-21 12:50:00,17.0,87.0,0.073,93.6,76.7
2017-08-27 06:30:00,23.47,88.7,4.916,0.212,0.281
2017-03-13 03:10:00,9.9,85.5,0.089,0.044,0.115
2017-04-02 17:10:00,15.82,81.9,0.071,159.5,144.3
2017-03-08 17:40:00,15.04,69.36,0.073,121.7,117.1
2017-06-29 18:10:00,27.16,56.54,0.066,324.7,309.5
2017-08-01 15:10:00,28.42,72.1,4.905,740.0,202.6
2017-12-12 00:40:00,17.55,55.81,0.087,0.04,0.152
2017-07-18 13:10:00,35.92,22.14,4.927,888.0,69.15
2017-05-31 23:50:00,19.96,85.7,0.074,0.055,0.13
2017-11-15 13:30:00,23.22,49.17,0.086,496.0,110.4
2017-12-27 11:50:00,,57.01,0.084,458.2,120.8
2017-10-08 18:30:00,20.97,70.9,1.225,13.84,10.87
2017-09-23 11:10:00,24.43,58.85,4.925,632.5,102.0
2017-09-26 18:40:00,22.67,66.46,4.92,34.16,34.2
2017-12-26 10:50:00,10.96,73.9,0.084,305.1,165.6
2017-06-16 15:00:00,24.88,50.38,0.068,840.0,34.74
2017-01-01 15:50:00,15.34,58.7,0.075,149.5,67.85
2017-02-01 00:30:00,11.42,67.89,4.923,0.029,0.13
2017-07-26 01:00:00,22.83,75.0,4.906,0.102,0.122
2017-12-24 21:20:00,11.68,82.5,0.083,0.077,0.145
2017-08-07 15:40:00,31.36,48.55,4.905,614.8,212.2
2017-04-12 04:30:00,15.12,89.3,0.068,0.073,0.111
2017-07-14 06:40:00,23.95,81.8,4.912,9.79,7.82
2017-10-15 10:30:00,21.36,75.5,0.071,365.0,85.4
2017-06-19 14:10:00,23.87,67.48,0.067,905.0,95.9
2017-08-28 22:50:00,24.73,86.6,4.92,0.055,0.122
2017-03-27 09:00:00,13.09,82.8,0.09,337.5,341.1
2017-12-27 18:10:00,15.4,61.38,0.084,0.816,0.872
2017-11-30 11:50:00,18.04,65.23,0.073,452.7,63.55
2017-05-03 22:50:00,21.07,66.55,0.075,0.059,0.13
2017-01-03 23:00:00,8.51,84.3,0.075,0.062,0.104
2017-01-17 19:30:00,11.26,64.01,0.084,0.055,0.119
2017-08-04 04:00:00,24.5,55.29,4.904,0.091,0.1
2017-09-09 01:40:00,20.7,88.4,0.353,0.048,0.178
2017-04-16 15:20:00,20.5,59.68,0.075,696.7,499.0
2017-11-26 06:00:00,12.36,71.2,4.919,0.059,0.067
2017-01-20 04:00:00,9.25,59.03,0.089,0.048,0.078
2017-02-11 04:40:00,12.39,74.2,4.916,0.073,0.137
2017-12-15 23:20:00,13.97,79.8,0.081,0.055,0.134
2017-05-11 15:20:00,21.67,69.87,4.922,732.0,310.4
2017-10-11 19:10:00,23.03,60.29,0.083,0.135,
2017-03-08 13:50:00,15.38,68.86,0.075,378.4,355.2
2017-06-26 11:20:00,24.43,68.51,4.92,817.0,63.49
2017-06-08 02:00:00,20.2,87.7,0.077,0.044,0.189
2017-08-31 05:50:00,22.07,70.3,4.919,0.073,0.096
2017-10-13 16:30:00,23.87,56.79,0.088,165.6,104.1
2017-07-20 14:30:00,30.49,52.63,0.067,806.0,140.2
2017-04-09 00:00:00,14.5,90.0,0.068,0.077,0.163
2017-10-05 10:20:00,25.53,59.69,4.924,515.3,157.4
2017-03-27 08:30:00,12.32,85.6,0.091,234.3,233.5
2017-06-11 23:20:00,19.12,69.92,0.081,0.048,0.137
2017-07-05 10:30:00,26.6,70.9,4.918,691.6,115.5
2017-11-28 05:20:00,15.05,,4.913,0.037,0.126
2017-11-06 06:20:00,18.6,79.0,0.068,0.055,0.107
2017-09-04 13:20:00,25.37,53.42,0.259,680.9,141.8
2017-01-12 20:10:00,15.13,83.5,0.07,0.048,0.115
2017-11-08 02:00:00,19.3,85.1,0.067,0.037,0.148
2017-01-02 07:20:00,9.74,85.4,0.072,0.077,0.111
